,tournament,surface,round,player_1,player_2,player_1_rank,player_2_rank,player_1_winner_sets,player_2_winner_sets,player_1_bet365,player_2_bet365,player_1_pinnacle,player_2_pinnacle,winner
94,Australian Open,Hard,2nd Round,De Minaur A.,Mannarino A.,24.0,45.0,3.0,1.0,1.17,5.0,1.18,5.68,1
96,Australian Open,Hard,2nd Round,Murray A.,Kokkinakis T.,66.0,159.0,3.0,2.0,2.38,1.57,2.56,1.58,1
98,Australian Open,Hard,3rd Round,Tsitsipas S.,Griekspoor T.,4.0,63.0,3.0,0.0,1.1,7.0,1.09,9.21,1
100,Australian Open,Hard,3rd Round,Auger-Aliassime F.,Cerundolo F.,7.0,29.0,3.0,1.0,1.11,6.5,1.1,8.61,1
102,Australian Open,Hard,3rd Round,Hurkacz H.,Shapovalov D.,11.0,22.0,3.0,2.0,1.91,1.91,1.91,2.0,1
104,Australian Open,Hard,3rd Round,Korda S.,Medvedev D.,31.0,8.0,3.0,0.0,4.5,1.2,4.83,1.22,1
106,Australian Open,Hard,3rd Round,Rune H.,Humbert U.,10.0,106.0,3.0,0.0,1.17,5.0,1.22,4.93,1
108,Australian Open,Hard,3rd Round,Paul T.,Brooksby J.,35.0,39.0,3.0,0.0,1.67,2.2,1.71,2.27,1
110,Australian Open,Hard,3rd Round,Shelton B.,Popyrin A.,89.0,113.0,3.0,0.0,2.3,1.62,2.4,1.65,1
112,Australian Open,Hard,3rd Round,Djokovic N.,Dimitrov G.,5.0,28.0,3.0,0.0,1.2,4.5,1.25,4.52,1
114,Australian Open,Hard,4th Round,Khachanov K.,Nishioka Y.,20.0,33.0,3.0,0.0,1.4,3.0,1.47,2.95,1
116,Australian Open,Hard,4th Round,Tsitsipas S.,Sinner J.,4.0,16.0,3.0,2.0,1.44,2.75,1.51,2.77,1
118,Australian Open,Hard,4th Round,Rublev A.,Rune H.,6.0,10.0,3.0,2.0,2.1,1.73,2.17,1.78,1
120,Australian Open,Hard,4th Round,Djokovic N.,De Minaur A.,5.0,24.0,3.0,0.0,1.2,4.5,1.25,4.51,1
122,Australian Open,Hard,Quarterfinals,Tsitsipas S.,Lehecka J.,4.0,71.0,3.0,0.0,1.14,5.5,1.18,5.79,1
124,Australian Open,Hard,Quarterfinals,Djokovic N.,Rublev A.,5.0,6.0,3.0,0.0,1.11,6.5,1.15,6.53,1
126,Australian Open,Hard,Semifinals,Djokovic N.,Paul T.,5.0,35.0,3.0,0.0,1.05,11.0,1.08,10.57,1
128,French Open,Clay,1st Round,Khachanov K.,Lestienne C.,11.0,70.0,3.0,2.0,1.02,21.0,1.04,19.52,1
130,French Open,Clay,1st Round,Ofner S.,Cressy M.,118.0,44.0,3.0,0.0,1.3,3.5,1.31,3.8,1
132,French Open,Clay,1st Round,Albot R.,Kypson P.,113.0,329.0,3.0,1.0,1.36,3.2,1.42,3.12,1
134,French Open,Clay,1st Round,Fucsovics M.,Grenier H.,83.0,122.0,3.0,1.0,1.2,4.5,1.21,5.04,1
136,French Open,Clay,1st Round,Kubler J.,Diaz Acosta F.,69.0,137.0,3.0,2.0,2.3,1.62,2.44,1.63,1
138,French Open,Clay,1st Round,Korda S.,Mcdonald M.,30.0,59.0,3.0,0.0,1.5,2.63,1.55,2.65,1
140,French Open,Clay,1st Round,Carballes Baena R.,Nava E.,57.0,242.0,3.0,0.0,1.25,4.0,1.28,4.1,1
142,French Open,Clay,1st Round,Rublev A.,Djere L.,7.0,60.0,3.0,1.0,1.22,4.33,1.24,4.6,1
144,French Open,Clay,1st Round,Sonego L.,Shelton B.,48.0,36.0,3.0,1.0,1.4,3.0,1.47,2.92,1
146,French Open,Clay,1st Round,Humbert U.,Mannarino A.,40.0,47.0,3.0,0.0,1.22,4.33,1.31,3.85,1
148,French Open,Clay,1st Round,Shapovalov D.,Nakashima B.,32.0,45.0,3.0,2.0,2.1,1.73,2.15,1.79,1
150,French Open,Clay,1st Round,Schwartzman D.,Zapata Miralles B.,95.0,38.0,3.0,2.0,2.1,1.73,2.24,1.73,1
152,French Open,Clay,1st Round,De Minaur A.,Ivashka I.,19.0,73.0,3.0,1.0,1.29,3.75,1.31,3.84,1
154,French Open,Clay,1st Round,Karatsev A.,Popyrin A.,62.0,85.0,3.0,1.0,1.67,2.2,1.72,2.26,1
156,French Open,Clay,1st Round,Fognini F.,Auger-Aliassime F.,130.0,10.0,3.0,0.0,3.2,1.36,3.49,1.35,1
158,French Open,Clay,1st Round,Daniel T.,O Connell C.,112.0,77.0,3.0,0.0,2.2,1.67,2.23,1.74,1
160,French Open,Clay,1st Round,Tirante T.A.,Van De Zandschulp B.,153.0,31.0,3.0,1.0,4.5,1.2,4.67,1.23,1
162,French Open,Clay,1st Round,Cachin P.,Thiem D.,64.0,92.0,3.0,2.0,2.2,1.67,2.22,1.74,1
164,French Open,Clay,1st Round,Lehecka J.,Struff J.L.,41.0,28.0,3.0,2.0,2.3,1.62,2.24,1.73,1
166,French Open,Clay,1st Round,Alcaraz C.,Cobolli F.,1.0,159.0,3.0,0.0,1.02,21.0,1.03,25.73,1
168,French Open,Clay,1st Round,Tiafoe F.,Krajinovic F.,12.0,93.0,3.0,0.0,1.2,4.5,1.28,4.13,1
170,French Open,Clay,1st Round,Van Assche L.,Cecchinato M.,82.0,72.0,3.0,0.0,1.8,2.0,1.84,2.08,1
