tournament,surface,round,player_1,player_2,player_1_rank,player_2_rank,player_1_bet365,player_2_bet365,player_1_pinnacle,player_2_pinnacle,winner
Australian Open,Hard,3rd Round,Bautista Agut R.,Murray A.,25.0,66.0,1.33,3.4,1.37,3.41,1
Australian Open,Hard,4th Round,Korda S.,Hurkacz H.,31.0,11.0,1.53,2.5,1.64,2.41,1
Australian Open,Hard,4th Round,Lehecka J.,Auger-Aliassime F.,71.0,7.0,4.5,1.2,4.72,1.23,1
Australian Open,Hard,4th Round,Shelton B.,Wolf J.J.,89.0,67.0,1.91,1.91,2.0,1.9,1
Australian Open,Hard,4th Round,Paul T.,Bautista Agut R.,35.0,25.0,1.73,2.1,1.77,2.18,1
Australian Open,Hard,Quarterfinals,Khachanov K.,Korda S.,20.0,31.0,2.0,1.8,2.13,1.8,1
Australian Open,Hard,Quarterfinals,Paul T.,Shelton B.,35.0,89.0,1.33,3.4,1.33,3.67,1
Australian Open,Hard,Semifinals,Tsitsipas S.,Khachanov K.,4.0,20.0,1.3,3.5,1.3,3.95,1
Australian Open,Hard,The Final,Djokovic N.,Tsitsipas S.,5.0,4.0,1.2,4.8,1.22,4.85,1
French Open,Clay,1st Round,Hurkacz H.,Goffin D.,14.0,111.0,1.36,3.2,1.37,3.4,1
French Open,Clay,1st Round,Griekspoor T.,Martinez P.,39.0,135.0,2.1,1.73,2.15,1.79,1
French Open,Clay,1st Round,Kokkinakis T.,Evans D.,108.0,25.0,2.0,1.8,2.02,1.88,1
French Open,Clay,1st Round,Tsitsipas S.,Vesely J.,5.0,455.0,1.02,19.0,1.02,22.09,1
French Open,Clay,1st Round,Borges N.,Isner J.,80.0,90.0,1.4,3.0,1.41,3.15,1
French Open,Clay,1st Round,Arnaldi M.,Galan D.E.,106.0,91.0,1.44,2.75,1.55,2.63,1
French Open,Clay,1st Round,Musetti L.,Ymer M.,18.0,56.0,1.2,4.5,1.21,5.02,1
French Open,Clay,1st Round,Moutet C.,Cazaux A.,61.0,190.0,1.8,2.0,1.98,1.93,1
French Open,Clay,1st Round,Shevchenko A.,Otte O.,87.0,120.0,1.4,3.0,1.46,2.94,1
French Open,Clay,1st Round,Pouille L.,Rodionov J.,675.0,134.0,1.73,2.1,1.75,2.21,1
French Open,Clay,1st Round,Norrie C.,Paire B.,13.0,149.0,1.11,6.5,1.13,7.45,1
French Open,Clay,1st Round,Varillas J.P.,Shang J.,94.0,200.0,1.57,2.38,1.57,2.57,1
French Open,Clay,1st Round,Etcheverry T.,Draper J.,49.0,55.0,1.67,2.2,1.75,2.21,1
French Open,Clay,1st Round,Bautista Agut R.,Wu Y.,24.0,54.0,1.4,3.0,1.41,3.19,1
French Open,Clay,1st Round,Wawrinka S.,Ramos-Vinolas A.,89.0,67.0,1.36,3.2,1.43,3.07,1
French Open,Clay,1st Round,Djokovic N.,Kovacevic A.,3.0,114.0,1.01,29.0,1.02,37.53,1
French Open,Clay,1st Round,Coric B.,Coria F.,16.0,96.0,1.13,6.0,1.12,7.64,1
French Open,Clay,1st Round,Giron M.,Medjedovic H.,75.0,168.0,2.1,1.73,2.13,1.8,1
French Open,Clay,1st Round,Davidovich Fokina A.,Fils A.,34.0,63.0,1.36,3.2,1.37,3.37,1
French Open,Clay,1st Round,Altmaier D.,Huesler M.A.,79.0,84.0,1.36,3.2,1.45,2.99,1
French Open,Clay,1st Round,Zhang Zh.,Lajovic D.,71.0,53.0,2.5,1.53,2.78,1.51,1
French Open,Clay,1st Round,Sinner J.,Muller A.,9.0,101.0,1.03,15.0,1.05,15.4,1
French Open,Clay,1st Round,Jarry N.,Dellien H.,35.0,160.0,1.2,4.5,1.24,4.61,1
French Open,Clay,1st Round,Nishioka Y.,Wolf J.J.,33.0,50.0,2.0,1.8,2.21,1.75,1
