tournament,surface,round,player_1,player_2,player_1_rank,player_2_rank,player_1_bet365,player_2_bet365,player_1_pinnacle,player_2_pinnacle,winner
US Open,Hard,3rd Round,Alcaraz C.,Evans D.,1.0,28.0,1.03,15.0,1.04,17.77,1
US Open,Hard,3rd Round,Rublev A.,Rinderknech A.,8.0,73.0,1.17,5.0,1.15,6.41,1
US Open,Hard,3rd Round,De Minaur A.,Jarry N.,13.0,25.0,1.25,4.0,1.22,4.83,1
US Open,Hard,3rd Round,Medvedev D.,Baez S.,3.0,32.0,1.07,9.0,1.09,9.28,1
US Open,Hard,4th Round,Tiafoe F.,Hijikata R.,10.0,110.0,1.14,5.5,1.21,5.13,1
US Open,Hard,4th Round,Djokovic N.,Gojo B.,2.0,105.0,1.02,19.0,1.03,23.38,1
US Open,Hard,4th Round,Rublev A.,Draper J.,8.0,123.0,1.4,3.0,1.39,3.27,1
US Open,Hard,4th Round,Zverev A.,Sinner J.,12.0,6.0,2.38,1.57,2.69,1.53,1
US Open,Hard,Quarterfinals,Shelton B.,Tiafoe F.,47.0,10.0,3.0,1.4,3.01,1.44,1
US Open,Hard,Quarterfinals,Alcaraz C.,Zverev A.,1.0,12.0,1.2,4.5,1.22,4.9,1
US Open,Hard,Semifinals,Medvedev D.,Alcaraz C.,3.0,1.0,4.33,1.22,4.13,1.28,1
Australian Open,Hard,1st Round,Wu Y.,Moutet C.,114.0,62.0,1.57,2.38,1.65,2.4,2
Australian Open,Hard,1st Round,Ivashka I.,Van De Zandschulp B.,73.0,34.0,3.2,1.36,2.91,1.47,2
Australian Open,Hard,1st Round,Edmund K.,Sinner J.,581.0,16.0,10.0,1.06,15.72,1.05,2
Australian Open,Hard,1st Round,Otte O.,Shang J.,74.0,194.0,1.44,2.75,1.48,2.86,2
Australian Open,Hard,1st Round,Garin C.,Korda S.,87.0,31.0,8.0,1.08,9.05,1.1,2
Australian Open,Hard,1st Round,Lajovic D.,Shapovalov D.,86.0,22.0,8.0,1.08,9.82,1.09,2
Australian Open,Hard,1st Round,Nakashima B.,Mcdonald M.,49.0,65.0,1.53,2.5,1.56,2.59,2
Australian Open,Hard,1st Round,Altmaier D.,Tiafoe F.,92.0,17.0,7.0,1.1,8.65,1.1,2
Australian Open,Hard,1st Round,Escobedo E.,Daniel T.,313.0,94.0,2.38,1.57,2.57,1.57,2
Australian Open,Hard,1st Round,Coric B.,Lehecka J.,23.0,71.0,1.36,3.2,1.38,3.34,2
Australian Open,Hard,1st Round,Munar J.,Svrcina D.,64.0,216.0,1.44,2.75,1.52,2.74,2
Australian Open,Hard,1st Round,Kwon S.W.,Eubanks C.,52.0,116.0,1.57,2.38,1.55,2.65,2
Australian Open,Hard,1st Round,Wawrinka S.,Molcan A.,139.0,53.0,1.29,3.75,1.3,3.89,2
Australian Open,Hard,1st Round,Van Assche L.,Norrie C.,143.0,12.0,10.0,1.06,11.47,1.07,2
Australian Open,Hard,1st Round,Halys Q.,Tsitsipas S.,61.0,4.0,5.5,1.14,6.96,1.14,2
Australian Open,Hard,1st Round,Musetti L.,Harris L.,19.0,186.0,1.33,3.4,1.34,3.61,2
Australian Open,Hard,1st Round,Thiem D.,Rublev A.,98.0,6.0,4.0,1.25,4.13,1.28,2
Australian Open,Hard,1st Round,Bagnis F.,Evans D.,91.0,30.0,6.5,1.11,7.05,1.14,2
Australian Open,Hard,1st Round,Karatsev A.,Dimitrov G.,82.0,28.0,3.0,1.4,3.17,1.41,2
Australian Open,Hard,1st Round,Krutykh O.,Schwartzman D.,188.0,26.0,2.63,1.5,2.52,1.58,2
Australian Open,Hard,1st Round,Bublik A.,Davidovich Fokina A.,36.0,32.0,2.1,1.73,2.2,1.76,2
Australian Open,Hard,1st Round,Thompson J.,Wolf J.J.,88.0,67.0,2.38,1.57,2.39,1.65,2
Australian Open,Hard,1st Round,Krajinovic F.,Rune H.,54.0,10.0,5.5,1.14,5.65,1.18,2
Australian Open,Hard,1st Round,Berrettini M.,Murray A.,14.0,66.0,1.25,4.0,1.24,4.62,2
Australian Open,Hard,1st Round,Struff J.L.,Paul T.,167.0,35.0,3.0,1.4,3.24,1.4,2
Australian Open,Hard,1st Round,Hsu Y.,De Minaur A.,209.0,24.0,13.0,1.04,13.57,1.06,2
Australian Open,Hard,1st Round,Machac T.,Ruud C.,110.0,3.0,5.0,1.17,5.52,1.19,2
Australian Open,Hard,1st Round,Purcell M.,Ruusuvuori E.,205.0,46.0,3.2,1.36,3.18,1.41,2
Australian Open,Hard,1st Round,Safiullin R.,Kudla D.,97.0,108.0,1.36,3.2,1.35,3.47,2
Australian Open,Hard,1st Round,Vukic A.,Holt B.,146.0,215.0,1.57,2.38,1.65,2.38,2
Australian Open,Hard,1st Round,Dellien H.,Couacaud E.,131.0,191.0,6.5,1.11,7.08,1.13,2
Australian Open,Hard,1st Round,Fognini F.,Kokkinakis T.,57.0,159.0,5.0,1.17,5.56,1.19,2
Australian Open,Hard,2nd Round,Molcan A.,Auger-Aliassime F.,53.0,7.0,11.0,1.05,11.09,1.08,2
Australian Open,Hard,2nd Round,Shang J.,Tiafoe F.,194.0,17.0,5.5,1.14,8.34,1.1,2
Australian Open,Hard,2nd Round,Kubler J.,Khachanov K.,84.0,20.0,3.75,1.29,3.93,1.29,2
Australian Open,Hard,2nd Round,Svrcina D.,Nishioka Y.,216.0,33.0,4.0,1.25,4.24,1.27,2
Australian Open,Hard,2nd Round,Daniel T.,Shapovalov D.,94.0,22.0,5.0,1.17,5.48,1.19,2
Australian Open,Hard,2nd Round,Hijikata R.,Tsitsipas S.,169.0,4.0,11.0,1.05,19.14,1.03,2
Australian Open,Hard,2nd Round,Van De Zandschulp B.,Griekspoor T.,34.0,63.0,1.73,2.1,1.78,2.17,2
Australian Open,Hard,2nd Round,Lestienne C.,Norrie C.,55.0,12.0,7.0,1.1,8.07,1.11,2
Australian Open,Hard,2nd Round,Davidovich Fokina A.,Paul T.,32.0,35.0,2.63,1.5,2.84,1.49,2
Australian Open,Hard,2nd Round,Ruusuvuori E.,Rublev A.,46.0,6.0,4.33,1.22,4.69,1.23,2
Australian Open,Hard,2nd Round,Schwartzman D.,Wolf J.J.,26.0,67.0,2.5,1.53,2.83,1.49,2
Australian Open,Hard,2nd Round,Kudla D.,Humbert U.,108.0,106.0,2.75,1.44,2.97,1.45,2
Australian Open,Hard,2nd Round,Djere L.,Dimitrov G.,68.0,28.0,3.75,1.29,4.16,1.27,2
Australian Open,Hard,2nd Round,Holt B.,Bautista Agut R.,215.0,25.0,7.0,1.1,8.84,1.1,2
Australian Open,Hard,2nd Round,Mannarino A.,De Minaur A.,45.0,24.0,5.0,1.17,5.68,1.18,2
Australian Open,Hard,2nd Round,Kokkinakis T.,Murray A.,159.0,66.0,1.57,2.38,1.58,2.56,2
Australian Open,Hard,3rd Round,Griekspoor T.,Tsitsipas S.,63.0,4.0,7.0,1.1,9.21,1.09,2
Australian Open,Hard,3rd Round,Cerundolo F.,Auger-Aliassime F.,29.0,7.0,6.5,1.11,8.61,1.1,2
Australian Open,Hard,3rd Round,Shapovalov D.,Hurkacz H.,22.0,11.0,1.91,1.91,2.0,1.91,2
Australian Open,Hard,3rd Round,Medvedev D.,Korda S.,8.0,31.0,1.2,4.5,1.22,4.83,2
Australian Open,Hard,3rd Round,Humbert U.,Rune H.,106.0,10.0,5.0,1.17,4.93,1.22,2
Australian Open,Hard,3rd Round,Brooksby J.,Paul T.,39.0,35.0,2.2,1.67,2.27,1.71,2
Australian Open,Hard,3rd Round,Popyrin A.,Shelton B.,113.0,89.0,1.62,2.3,1.65,2.4,2
Australian Open,Hard,3rd Round,Dimitrov G.,Djokovic N.,28.0,5.0,4.5,1.2,4.52,1.25,2
Australian Open,Hard,4th Round,Nishioka Y.,Khachanov K.,33.0,20.0,3.0,1.4,2.95,1.47,2
Australian Open,Hard,4th Round,Sinner J.,Tsitsipas S.,16.0,4.0,2.75,1.44,2.77,1.51,2
Australian Open,Hard,4th Round,Rune H.,Rublev A.,10.0,6.0,1.73,2.1,1.78,2.17,2
Australian Open,Hard,4th Round,De Minaur A.,Djokovic N.,24.0,5.0,4.5,1.2,4.51,1.25,2
Australian Open,Hard,Quarterfinals,Lehecka J.,Tsitsipas S.,71.0,4.0,5.5,1.14,5.79,1.18,2
Australian Open,Hard,Quarterfinals,Rublev A.,Djokovic N.,6.0,5.0,6.5,1.11,6.53,1.15,2
Australian Open,Hard,Semifinals,Paul T.,Djokovic N.,35.0,5.0,11.0,1.05,10.57,1.08,2
French Open,Clay,1st Round,Lestienne C.,Khachanov K.,70.0,11.0,21.0,1.02,19.52,1.04,2
French Open,Clay,1st Round,Cressy M.,Ofner S.,44.0,118.0,3.5,1.3,3.8,1.31,2
French Open,Clay,1st Round,Kypson P.,Albot R.,329.0,113.0,3.2,1.36,3.12,1.42,2
French Open,Clay,1st Round,Grenier H.,Fucsovics M.,122.0,83.0,4.5,1.2,5.04,1.21,2
French Open,Clay,1st Round,Diaz Acosta F.,Kubler J.,137.0,69.0,1.62,2.3,1.63,2.44,2
French Open,Clay,1st Round,Mcdonald M.,Korda S.,59.0,30.0,2.63,1.5,2.65,1.55,2
French Open,Clay,1st Round,Nava E.,Carballes Baena R.,242.0,57.0,4.0,1.25,4.1,1.28,2
French Open,Clay,1st Round,Djere L.,Rublev A.,60.0,7.0,4.33,1.22,4.6,1.24,2
French Open,Clay,1st Round,Shelton B.,Sonego L.,36.0,48.0,3.0,1.4,2.92,1.47,2
French Open,Clay,1st Round,Mannarino A.,Humbert U.,47.0,40.0,4.33,1.22,3.85,1.31,2
French Open,Clay,1st Round,Nakashima B.,Shapovalov D.,45.0,32.0,1.73,2.1,1.79,2.15,2
French Open,Clay,1st Round,Zapata Miralles B.,Schwartzman D.,38.0,95.0,1.73,2.1,1.73,2.24,2
French Open,Clay,1st Round,Ivashka I.,De Minaur A.,73.0,19.0,3.75,1.29,3.84,1.31,2
French Open,Clay,1st Round,Popyrin A.,Karatsev A.,85.0,62.0,2.2,1.67,2.26,1.72,2
French Open,Clay,1st Round,Auger-Aliassime F.,Fognini F.,10.0,130.0,1.36,3.2,1.35,3.49,2
French Open,Clay,1st Round,O Connell C.,Daniel T.,77.0,112.0,1.67,2.2,1.74,2.23,2
French Open,Clay,1st Round,Van De Zandschulp B.,Tirante T.A.,31.0,153.0,1.2,4.5,1.23,4.67,2
French Open,Clay,1st Round,Thiem D.,Cachin P.,92.0,64.0,1.67,2.2,1.74,2.22,2
French Open,Clay,1st Round,Struff J.L.,Lehecka J.,28.0,41.0,1.62,2.3,1.73,2.24,2
French Open,Clay,1st Round,Cobolli F.,Alcaraz C.,159.0,1.0,21.0,1.02,25.73,1.03,2
French Open,Clay,1st Round,Krajinovic F.,Tiafoe F.,93.0,12.0,4.5,1.2,4.13,1.28,2
French Open,Clay,1st Round,Cecchinato M.,Van Assche L.,72.0,82.0,2.0,1.8,2.08,1.84,2
French Open,Clay,1st Round,Stricker D.,Paul T.,116.0,17.0,3.4,1.33,3.14,1.42,2
French Open,Clay,1st Round,Ymer E.,Ruud C.,155.0,4.0,10.0,1.06,12.36,1.07,2
French Open,Clay,1st Round,Mpetshi G.,Olivieri G.,237.0,231.0,2.2,1.67,2.23,1.74,2
French Open,Clay,1st Round,Thompson J.,Purcell M.,76.0,68.0,1.73,2.1,1.74,2.23,2
French Open,Clay,1st Round,Harris L.,Zverev A.,294.0,27.0,11.0,1.05,12.71,1.06,2
French Open,Clay,1st Round,Medvedev D.,Seyboth Wild T.,2.0,172.0,1.05,11.0,1.08,10.69,2
French Open,Clay,1st Round,Munar J.,Cerundolo F.,81.0,23.0,3.5,1.3,4.38,1.26,2
French Open,Clay,1st Round,Halys Q.,Pella G.,88.0,423.0,1.36,3.2,1.37,3.4,2
French Open,Clay,1st Round,Mmoh M.,Fritz T.,123.0,8.0,19.0,1.02,16.94,1.04,2
French Open,Clay,1st Round,Monteiro T.,Hanfmann Y.,98.0,65.0,3.2,1.36,3.39,1.37,2
French Open,Clay,2nd Round,Kubler J.,Fognini F.,69.0,130.0,2.63,1.5,2.55,1.58,2
French Open,Clay,2nd Round,Carballes Baena R.,Tsitsipas S.,57.0,5.0,8.0,1.08,9.81,1.09,2
French Open,Clay,2nd Round,Wawrinka S.,Kokkinakis T.,89.0,108.0,1.8,2.0,1.76,2.19,2
French Open,Clay,2nd Round,Arnaldi M.,Shapovalov D.,106.0,32.0,1.73,2.1,1.81,2.12,2
French Open,Clay,2nd Round,Daniel T.,Alcaraz C.,112.0,1.0,21.0,1.02,25.16,1.03,2
French Open,Clay,2nd Round,Griekspoor T.,Hurkacz H.,39.0,14.0,3.0,1.4,3.28,1.39,2
French Open,Clay,2nd Round,Pouille L.,Norrie C.,675.0,13.0,4.0,1.25,4.07,1.28,2
French Open,Clay,2nd Round,Shevchenko A.,Musetti L.,87.0,18.0,3.75,1.29,4.45,1.25,2
French Open,Clay,2nd Round,Cachin P.,Coric B.,64.0,16.0,3.2,1.36,3.13,1.42,2
French Open,Clay,2nd Round,Zeppieri G.,Ruud C.,129.0,4.0,8.0,1.08,9.44,1.09,2
French Open,Clay,2nd Round,Purcell M.,Nishioka Y.,68.0,33.0,3.2,1.36,3.37,1.37,2
French Open,Clay,2nd Round,Pella G.,Seyboth Wild T.,423.0,172.0,3.2,1.36,3.05,1.44,2
French Open,Clay,2nd Round,Karatsev A.,Tiafoe F.,62.0,12.0,1.91,1.91,1.95,1.95,2
French Open,Clay,2nd Round,Paul T.,Jarry N.,17.0,35.0,2.3,1.62,2.52,1.6,2
French Open,Clay,2nd Round,Hanfmann Y.,Cerundolo F.,65.0,23.0,2.75,1.44,3.0,1.47,2
French Open,Clay,2nd Round,Rinderknech A.,Fritz T.,78.0,8.0,6.5,1.11,7.12,1.13,2
French Open,Clay,3rd Round,Kokkinakis T.,Khachanov K.,108.0,11.0,3.75,1.29,4.39,1.26,2
French Open,Clay,3rd Round,Fognini F.,Ofner S.,130.0,118.0,1.67,2.2,1.71,2.28,2
French Open,Clay,3rd Round,Norrie C.,Musetti L.,13.0,18.0,2.5,1.53,2.65,1.54,2
French Open,Clay,3rd Round,Hurkacz H.,Varillas J.P.,14.0,94.0,1.4,3.0,1.43,3.08,2
French Open,Clay,3rd Round,Zhang Zh.,Ruud C.,71.0,4.0,6.0,1.13,7.13,1.13,2
French Open,Clay,3rd Round,Coric B.,Etcheverry T.,16.0,49.0,2.2,1.67,2.28,1.7,2
French Open,Clay,3rd Round,Olivieri G.,Rune H.,231.0,6.0,15.0,1.03,17.13,1.04,2
French Open,Clay,3rd Round,Altmaier D.,Dimitrov G.,79.0,29.0,3.2,1.36,3.19,1.41,2
French Open,Clay,4th Round,Sonego L.,Khachanov K.,48.0,11.0,2.75,1.44,2.84,1.49,2
French Open,Clay,4th Round,Musetti L.,Alcaraz C.,18.0,1.0,5.0,1.17,5.65,1.18,2
French Open,Clay,4th Round,Jarry N.,Ruud C.,35.0,4.0,2.75,1.44,2.87,1.48,2
French Open,Clay,4th Round,Dimitrov G.,Zverev A.,29.0,27.0,2.75,1.44,3.1,1.42,2
French Open,Clay,Quarterfinals,Khachanov K.,Djokovic N.,11.0,3.0,8.0,1.08,7.89,1.12,2
French Open,Clay,Quarterfinals,Etcheverry T.,Zverev A.,49.0,27.0,3.4,1.33,3.63,1.33,2
French Open,Clay,Semifinals,Alcaraz C.,Djokovic N.,1.0,3.0,1.5,2.63,1.57,2.59,2
French Open,Clay,The Final,Ruud C.,Djokovic N.,4.0,3.0,4.8,1.2,4.92,1.22,2
Wimbledon,Grass,1st Round,Varillas J.P.,Musetti L.,63.0,16.0,10.0,1.06,11.93,1.07,2
Wimbledon,Grass,1st Round,Nakashima B.,Thompson J.,55.0,70.0,1.91,1.91,2.04,1.88,2
Wimbledon,Grass,1st Round,Gojo B.,Marterer M.,112.0,170.0,1.8,2.0,1.71,2.26,2
Wimbledon,Grass,1st Round,Cachin P.,Djokovic N.,68.0,2.0,34.0,1.01,28.03,1.01,2
Wimbledon,Grass,1st Round,Gasquet R.,Moutet C.,51.0,71.0,1.57,2.38,1.61,2.49,2
Wimbledon,Grass,1st Round,Lestienne C.,Broady L.,74.0,142.0,2.63,1.5,2.75,1.51,2
Wimbledon,Grass,1st Round,Isner J.,Munar J.,103.0,109.0,1.36,3.2,1.44,3.05,2
Wimbledon,Grass,1st Round,Lajovic D.,Choinski J.,56.0,164.0,1.5,2.63,1.54,2.66,2
Wimbledon,Grass,1st Round,Koepfer D.,Otte O.,86.0,233.0,2.3,1.62,2.24,1.73,2
Wimbledon,Grass,1st Round,Altmaier D.,Vukic A.,66.0,87.0,2.75,1.44,3.03,1.44,2
Wimbledon,Grass,1st Round,Ruusuvuori E.,Wawrinka S.,47.0,88.0,1.4,3.0,1.36,3.47,2
Wimbledon,Grass,1st Round,Cerundolo J.M.,Sinner J.,111.0,8.0,19.0,1.02,21.56,1.03,2
Wimbledon,Grass,1st Round,Peniston R.,Murray A.,268.0,40.0,7.0,1.1,8.4,1.11,2
Wimbledon,Grass,1st Round,Evans D.,Halys Q.,30.0,79.0,1.8,2.0,1.93,1.97,2
Wimbledon,Grass,1st Round,Popyrin A.,Stricker D.,93.0,117.0,2.3,1.62,2.31,1.69,2
Wimbledon,Grass,1st Round,Novak D.,Raonic M.,159.0,849.0,1.91,1.91,1.91,2.0,2
Wimbledon,Grass,1st Round,Wu Y.,Tiafoe F.,62.0,10.0,5.5,1.14,5.09,1.21,2
Wimbledon,Grass,1st Round,Harris L.,Barrere G.,208.0,49.0,1.73,2.1,1.82,2.11,2
Wimbledon,Grass,1st Round,Coric B.,Pella G.,14.0,308.0,1.36,3.2,1.41,3.15,2
Wimbledon,Grass,1st Round,Bautista Agut R.,Safiullin R.,23.0,92.0,1.3,3.5,1.31,3.82,2
Wimbledon,Grass,1st Round,Mochizuki S.,Paul T.,212.0,15.0,6.5,1.11,6.32,1.16,2
Wimbledon,Grass,1st Round,Albot R.,Shapovalov D.,107.0,29.0,4.5,1.2,4.43,1.25,2
Wimbledon,Grass,1st Round,Loffhagen G.,Rune H.,371.0,6.0,11.0,1.05,12.49,1.06,2
Wimbledon,Grass,1st Round,Monteiro T.,Eubanks C.,95.0,43.0,4.0,1.25,4.09,1.28,2
Wimbledon,Grass,1st Round,Coria F.,Ivashka I.,104.0,102.0,8.0,1.08,7.76,1.11,2
Wimbledon,Grass,1st Round,Shevchenko A.,Mannarino A.,97.0,35.0,4.5,1.2,4.6,1.24,2
Wimbledon,Grass,1st Round,Griekspoor T.,Fucsovics M.,31.0,67.0,1.8,2.0,1.81,2.11,2
Wimbledon,Grass,1st Round,Zhang Zh.,Van De Zandschulp B.,52.0,44.0,2.2,1.67,2.31,1.69,2
Wimbledon,Grass,1st Round,Huesler M.A.,Watanuki Y.,81.0,116.0,2.0,1.8,2.12,1.81,2
Wimbledon,Grass,1st Round,Medjedovic H.,O Connell C.,156.0,73.0,2.3,1.62,2.51,1.6,2
Wimbledon,Grass,1st Round,Humbert U.,Kubler J.,39.0,77.0,1.62,2.3,1.62,2.45,2
Wimbledon,Grass,1st Round,Sonego L.,Berrettini M.,42.0,38.0,1.53,2.5,1.57,2.58,2
Wimbledon,Grass,2nd Round,Schwartzman D.,Sinner J.,98.0,8.0,11.0,1.05,13.38,1.06,2
Wimbledon,Grass,2nd Round,Vukic A.,Halys Q.,87.0,79.0,2.2,1.67,2.3,1.69,2
Wimbledon,Grass,2nd Round,Choinski J.,Hurkacz H.,164.0,18.0,9.0,1.07,12.26,1.07,2
Wimbledon,Grass,2nd Round,Wolf J.J.,Bublik A.,48.0,26.0,2.75,1.44,2.79,1.5,2
Wimbledon,Grass,2nd Round,Karatsev A.,Rublev A.,50.0,7.0,4.5,1.2,5.27,1.2,2
Wimbledon,Grass,2nd Round,Otte O.,Galan D.E.,233.0,85.0,1.44,2.75,1.57,2.58,2
Wimbledon,Grass,2nd Round,Raonic M.,Paul T.,849.0,15.0,2.75,1.44,2.73,1.52,2
Wimbledon,Grass,2nd Round,Cerundolo F.,Lehecka J.,19.0,37.0,1.8,2.0,1.9,2.01,2
Wimbledon,Grass,2nd Round,Fritz T.,Ymer M.,9.0,59.0,1.2,4.5,1.25,4.46,2
Wimbledon,Grass,2nd Round,Shelton B.,Djere L.,36.0,60.0,1.53,2.5,1.6,2.5,2
Wimbledon,Grass,2nd Round,Carballes Baena R.,Rune H.,57.0,6.0,10.0,1.06,10.39,1.08,2
Wimbledon,Grass,2nd Round,De Minaur A.,Berrettini M.,17.0,38.0,1.57,2.38,1.61,2.48,2
Wimbledon,Grass,2nd Round,Mannarino A.,Medvedev D.,35.0,3.0,4.33,1.22,3.94,1.3,2
Wimbledon,Grass,2nd Round,Watanuki Y.,Zverev A.,116.0,21.0,6.0,1.13,6.36,1.15,2
Wimbledon,Grass,2nd Round,Kubler J.,Jarry N.,77.0,28.0,2.38,1.57,2.28,1.71,2
Wimbledon,Grass,2nd Round,Murray A.,Tsitsipas S.,40.0,5.0,1.73,2.1,1.82,2.11,2
Wimbledon,Grass,3rd Round,Halys Q.,Sinner J.,79.0,8.0,5.5,1.14,5.82,1.17,2
Wimbledon,Grass,3rd Round,Ymer M.,Galan D.E.,59.0,85.0,1.4,3.0,1.34,3.59,2
Wimbledon,Grass,3rd Round,Pella G.,Safiullin R.,308.0,92.0,2.75,1.44,3.0,1.45,2
Wimbledon,Grass,3rd Round,Wawrinka S.,Djokovic N.,88.0,2.0,15.0,1.04,16.39,1.05,2
Wimbledon,Grass,3rd Round,O Connell C.,Eubanks C.,73.0,43.0,2.5,1.53,2.53,1.59,2
Wimbledon,Grass,3rd Round,Jarry N.,Alcaraz C.,28.0,1.0,8.0,1.08,9.02,1.1,2
Wimbledon,Grass,3rd Round,Djere L.,Tsitsipas S.,60.0,5.0,4.5,1.2,5.42,1.19,2
Wimbledon,Grass,3rd Round,Tiafoe F.,Dimitrov G.,10.0,24.0,1.8,2.0,1.91,2.0,2
Wimbledon,Grass,4th Round,Shapovalov D.,Safiullin R.,29.0,92.0,1.57,2.38,1.61,2.48,2
Wimbledon,Grass,4th Round,Lehecka J.,Medvedev D.,37.0,3.0,4.0,1.25,4.19,1.27,2
Wimbledon,Grass,4th Round,Hurkacz H.,Djokovic N.,18.0,2.0,11.0,1.05,12.09,1.07,2
Wimbledon,Grass,4th Round,Berrettini M.,Alcaraz C.,38.0,1.0,3.0,1.4,3.27,1.39,2
Wimbledon,Grass,Quarterfinals,Rublev A.,Djokovic N.,7.0,2.0,9.0,1.07,10.23,1.08,2
Wimbledon,Grass,Quarterfinals,Rune H.,Alcaraz C.,6.0,1.0,4.33,1.22,4.7,1.23,2
Wimbledon,Grass,Semifinals,Medvedev D.,Alcaraz C.,3.0,1.0,3.2,1.36,3.12,1.42,2
US Open,Hard,1st Round,Cachin P.,Shelton B.,66.0,47.0,5.0,1.17,4.69,1.23,2
US Open,Hard,1st Round,Wolf J.J.,Zhang Zh.,45.0,67.0,1.36,3.2,1.37,3.39,2
US Open,Hard,1st Round,Gasquet R.,Marozsan F.,55.0,92.0,1.44,2.75,1.47,2.9,2
US Open,Hard,1st Round,Bublik A.,Thiem D.,27.0,81.0,1.57,2.38,1.65,2.41,2
US Open,Hard,1st Round,Rune H.,Carballes Baena R.,4.0,63.0,1.13,6.0,1.11,8.09,2
US Open,Hard,1st Round,Tien L.,Tiafoe F.,700.0,10.0,17.0,1.03,25.44,1.03,2
US Open,Hard,1st Round,Nakashima B.,Djere L.,68.0,38.0,1.44,2.75,1.42,3.11,2
US Open,Hard,1st Round,Korda S.,Fucsovics M.,31.0,57.0,1.44,2.75,1.42,3.1,2
US Open,Hard,1st Round,Kecmanovic M.,Varillas J.P.,46.0,74.0,1.2,4.5,1.22,4.97,2
US Open,Hard,1st Round,Musetti L.,Droguet T.,18.0,171.0,1.11,6.5,1.12,7.81,2
US Open,Hard,1st Round,Quinn E.,Zapata Miralles B.,475.0,76.0,3.0,1.4,2.99,1.45,2
US Open,Hard,1st Round,Travaglia S.,Paul T.,233.0,14.0,10.0,1.06,12.9,1.06,2
US Open,Hard,1st Round,Auger-Aliassime F.,Mcdonald M.,15.0,40.0,1.67,2.2,1.76,2.19,2
US Open,Hard,1st Round,Halys Q.,Bonzi B.,70.0,108.0,1.57,2.38,1.52,2.74,2
US Open,Hard,1st Round,Shimabukuro S.,Gaston H.,158.0,99.0,2.0,1.8,2.14,1.79,2
US Open,Hard,1st Round,Dellien H.,Gojo B.,147.0,105.0,6.0,1.13,6.76,1.14,2
US Open,Hard,1st Round,Humbert U.,Berrettini M.,33.0,36.0,2.38,1.57,2.72,1.52,2
US Open,Hard,1st Round,Kubler J.,Arnaldi M.,87.0,61.0,2.0,1.8,1.89,2.01,2
US Open,Hard,1st Round,Griekspoor T.,Fils A.,24.0,48.0,1.57,2.38,1.63,2.44,2
US Open,Hard,1st Round,Schwartzman D.,Rinderknech A.,114.0,73.0,1.62,2.3,1.74,2.23,2
US Open,Hard,1st Round,Balazs A.,Medvedev D.,850.0,3.0,67.0,1.0,64.19,1.01,2
US Open,Hard,1st Round,Ramos-Vinolas A.,Michelsen A.,88.0,127.0,3.75,1.29,3.51,1.35,2
US Open,Hard,1st Round,Shevchenko A.,Norrie C.,83.0,16.0,4.5,1.2,4.77,1.23,2
US Open,Hard,1st Round,Kokkinakis T.,Hsu Y.,78.0,237.0,1.17,5.0,1.18,5.64,2
US Open,Hard,1st Round,Coric B.,Baez S.,23.0,32.0,1.5,2.63,1.5,2.79,2
US Open,Hard,1st Round,Diaz Acosta F.,Isner J.,94.0,157.0,3.0,1.4,3.29,1.39,2
US Open,Hard,1st Round,Thompson J.,Van De Zandschulp B.,51.0,65.0,1.4,3.0,1.45,2.98,2
US Open,Hard,1st Round,Galan D.E.,Evans D.,71.0,28.0,3.4,1.33,3.3,1.39,2
US Open,Hard,1st Round,Lajovic D.,Wu Y.,52.0,86.0,2.0,1.8,1.93,1.98,2
US Open,Hard,1st Round,Huesler M.A.,Hurkacz H.,97.0,17.0,9.0,1.07,10.98,1.08,2
US Open,Hard,1st Round,Virtanen O.,Etcheverry T.,133.0,34.0,2.5,1.53,2.5,1.6,2
US Open,Hard,1st Round,Hanfmann Y.,Sinner J.,54.0,6.0,17.0,1.03,18.84,1.04,2
US Open,Hard,2nd Round,Mcdonald M.,Gojo B.,40.0,105.0,1.44,2.75,1.48,2.86,2
US Open,Hard,2nd Round,Gaston H.,Djere L.,99.0,38.0,2.75,1.44,2.71,1.52,2
US Open,Hard,2nd Round,Eubanks C.,Bonzi B.,30.0,108.0,1.5,2.63,1.54,2.67,2
US Open,Hard,2nd Round,Cerundolo F.,Vesely J.,20.0,437.0,1.2,4.5,1.24,4.54,2
US Open,Hard,2nd Round,Thiem D.,Shelton B.,81.0,47.0,2.1,1.73,2.05,1.86,2
US Open,Hard,2nd Round,Safiullin R.,Paul T.,60.0,14.0,3.5,1.3,4.12,1.28,2
US Open,Hard,2nd Round,Droguet T.,Mensik J.,171.0,206.0,2.2,1.67,2.17,1.78,2
US Open,Hard,2nd Round,Ofner S.,Tiafoe F.,58.0,10.0,5.0,1.17,6.54,1.15,2
US Open,Hard,2nd Round,Sonego L.,Sinner J.,39.0,6.0,6.5,1.11,8.19,1.11,2
US Open,Hard,2nd Round,Hurkacz H.,Draper J.,17.0,123.0,1.5,2.63,1.5,2.82,2
US Open,Hard,2nd Round,Murray A.,Dimitrov G.,37.0,19.0,2.0,1.8,2.24,1.73,2
US Open,Hard,2nd Round,Fils A.,Arnaldi M.,48.0,61.0,1.62,2.3,1.58,2.54,2
US Open,Hard,2nd Round,Etcheverry T.,Wawrinka S.,34.0,49.0,3.5,1.3,3.8,1.31,2
